Event	ID	Name			Wwise Object Path	Notes
	95798163	PhoenixObjection			\Default Work Unit\PhoenixObjection	
	152941974	PhoenixLobby			\Default Work Unit\PhoenixLobby	
	1079616277	PhoenixGainStack			\Default Work Unit\PhoenixGainStack	
	1688684367	PhoenixGavel			\Default Work Unit\PhoenixGavel	
	1975761789	PhoenixFall			\Default Work Unit\PhoenixFall	
	2487928752	PhoenixTakeThat			\Default Work Unit\PhoenixTakeThat	
	2883528150	PhoenixThrow			\Default Work Unit\PhoenixThrow	
	3304771474	PhoenixHoldIt			\Default Work Unit\PhoenixHoldIt	
	3345964952	PhoenixEnterTurnabout			\Default Work Unit\PhoenixEnterTurnabout	
	3561233033	PhoenixTurnaboutTheme			\Default Work Unit\PhoenixTurnaboutTheme	
	4107067948	PhoenixPoint			\Default Work Unit\PhoenixPoint	
	4242188613	PhoenixDying			\Default Work Unit\PhoenixDying	

Game Parameter	ID	Name			Wwise Object Path	Notes
	907468302	VolumePhoenixVoice			\Default Work Unit\VolumePhoenixVoice	
	966734485	VolumePhoenixSFX			\Default Work Unit\VolumePhoenixSFX	
	2203219169	VolumePhoenixMusic			\Default Work Unit\VolumePhoenixMusic	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	79220565	TurnaboutAttack	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\TurnaboutAttack_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Phoenix SFX Mixer\Point\TurnaboutAttack		57920
	94166590	TakeThat	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\TakeThat_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\TakeThat\TakeThat		118846
	97928746	Dying	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Dying_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Dying\Dying		571376
	129639707	Objection	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Objection_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Objection\Objection		131424
	142402814	EnterTurnabout	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\EnterTurnabout_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\EnterTurnabout\EnterTurnabout		248588
	312593916	Gavel2	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Gavel2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Gavel\Gavel2		362004
	385300684	HoldIt	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\HoldIt_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\HoldIt\HoldIt		344160
	404060652	Gavel1	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Gavel1_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Gavel\Gavel1		254292
	473957536	GainStack9	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack9_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack9		138432
	491528081	GainStack10	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack10_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack10		133308
	494732442	Fall	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Fall_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Fall\Fall		82072
	557173905	Lobby2	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Lobby2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Lobby\Lobby2		362392
	644887042	GainStack6	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack6_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack6		212728
	650972892	GainStack3	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack3_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack3		197356
	656629175	TurnaboutTheme	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\TurnaboutTheme_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Music Mixer\Phoenix Music Mixer\TurnaboutTheme\TurnaboutTheme		43155552
	710503753	GainStack8	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack8_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack8		276768
	730806703	Lobby3	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Lobby3_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Lobby\Lobby3		413108
	743621200	GainStack7	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack7_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack7		210164
	755768726	GainStack12	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack12_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack12		121464
	828053341	Lobby5	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Lobby5_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Lobby\Lobby5		471076
	895255617	GainStack1	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack1_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack1		121464
	896272169	Fall2	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Fall2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Fall\Fall2		115376
	905368178	GainStack4	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack4_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack4		192232
	957656760	GainStack11	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack11_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack11		206900
	963490881	GainStack5	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack5_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack5		189668
	991698004	Lobby4	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Lobby4_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Lobby\Lobby4		340648
	994379939	Lobby	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\Lobby_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\Lobby\Lobby		492812
	1011389375	GainStack2	C:\Users\bokch\Documents\GitHub\PhoenixMod\PhoenixWWise\PhoenixWWise\.cache\Windows\SFX\GainStack2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Mixer\Phoenix Voice Mixer\GainStack\GainStack2		207604
